Product,Price,Discount,Ratings,Reviews Count,Category,Link
"ASUS Vivobook Go 15, Intel Celeron N4500, Fingerprint Sensor (Intel HD iGPU/8GB RAM/512GB SSD/FHD/15.6""/60Hz/42WHrs/Windows 11/M365 Basic (1Year)*/Office Home 2024/Star Black/1.57 kg) E510KA-EJ9011WS","23,875",-48%,2.4 out of 5 stars,8 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTU0NjA0MjkzMDczNDIyOjE3NTgwMzA2ODM6c3BfbXRmOjMwMDYxOTE1ODU2MTMzMjo6MDo6&url=%2FASUS-Vivobook-Celeron-Fingerprint-E510KA-EJ9011WS%2Fdp%2FB0DTV363L3%2Fref%3Dsr_1_11_sspa%3Fdib%3DeyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1758030683%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=CcGq5qLTsD&sp_cr=ZAZ
"Lenovo {SmartChoice)Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA","12,990",-64%,3.9 out of 5 stars,36 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NTU0NjA0MjkzMDczNDIyOjE3NTgwMzA2ODM6c3BfbXRmOjMwMDYxOTE1ODU2MDUzMjo6MDo6&url=%2FLenovo-SmartChoice-Chromebook-Speakers-82UY0014HA%2Fdp%2FB0F2TMZJ24%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1758030683%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=i6a0LNRPCT&sp_cr=ZAZ
"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W","62,990",-25%,4.0 out of 5 stars,372 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_13?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-13
"Lenovo 14 (2025), Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.4 kg/MS Office 2021","49,490",-55%,3.4 out of 5 stars,13 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/Lenovo-14-Intel-Core-1255U/dp/B0F6QGZHG2/ref=sr_1_14?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-14
"acer Aspire Go 14, Intel Core Ultra 5 125H (14th Gen),16GB DDR5 RAM/512GB SSD, WUXGA IPS, 14.0""/35.56 cm, Win 11, MS Office, Steel Gray, 1.5 kg, AG14-71M,Backlit Keyboard, AI Powered Premium Laptop","52,999",-27%,3.5 out of 5 stars,29 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/AspireGo14-14thgen-Processor-AG14-71M-Privacy/dp/B0FDL57MKD/ref=sr_1_15?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-15
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","33,640",-49%,4.0 out of 5 stars,162 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_16?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-16
"JioBook 11 with Lifetime Office/Android 4G Laptop Mediatek 8788 (JioOS) / Octa-core/ 4GB RAM / 64 eMMC Storage/Thin and Light Laptop (11.6 inch, 990 Grams)/ Dual Band WiFi + SIM/Blue","12,990",-48%,2.9 out of 5 stars,436 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/JioBook-Octa-Core-LPDDR4-JioOS-Expandable/dp/B0CKX9PY1H/ref=sr_1_17?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-17
"Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),83K100CJIN","66,190",-26%,4.0 out of 5 stars,153 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/Lenovo-Smartchoice-I7-13620H-Keyboard-83K100CJIN/dp/B0F2162VGQ/ref=sr_1_18?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-18
"HP 14, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, 14/35.6cm, FHD, Win11, M365 Basic(1yr),Office Home24, Silver,1.4kg, FHD Camera w/Privacy Shutter, ep0341TU","36,990",-27%,3.9 out of 5 stars,326 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/HP-i3-1315U-Anti-Glare-Micro-Edge-ep0341TU/dp/B0F9WNRWYS/ref=sr_1_19?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-19
"HP 15s, 12th Gen Intel Core i3-1215U (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.69kg, fy5006tu/fd0751tu/fd0752tu, UHD Graphics, HD Camera, Dual Speakers Laptop","34,999",-50%,4.0 out of 5 stars,489 ratings,Computers & Accessories > › > Laptops > › > Traditional Laptops,https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6inch-Graphics/dp/B0CJBL2QWY/ref=sr_1_20?dib=eyJ2IjoiMSJ9.Idvdwt_UXS2_-E6IS9-yitNjJLxxxJzVUk76Hr5OTIemRfUN9pqtqyLmQIOpCZUWSo4Xn9laxfU91kh0iggRTH2efoJn7dh2FYzi4c9IXc_fl0IP5gq3H7BvtNlu4lQeoeBmMgknQgEVU-n0by1J-LfSTOXTqdD6MzDAGp5LT3B7X-asuVMYo9sh6XwhHu_q6DqJlfE8XtjLWOV5dMvGg56awHU42w2O1-Z-0CzHa-k.LkJwNoRW3Xb4Hq2TmhqsCngUUxy2jBrwioHF2QZtugE&dib_tag=se&keywords=laptop&qid=1758030683&sr=8-20
